seed,parameter_set,instance,makespan,runtime,model,jobs,machines,upper_bound,gap,category
0,saved_network/FJSP_J15M15/best_value0,la02,827.0,0.1165859699249267,end_to_end_drl_for_fjsp,10,5,655,0.26259541984732826,small
0,saved_network/FJSP_J15M15/best_value0,la03,753.0,0.1166751384735107,end_to_end_drl_for_fjsp,10,5,597,0.2613065326633166,small
0,saved_network/FJSP_J15M15/best_value0,la04,711.0,0.1168000698089599,end_to_end_drl_for_fjsp,10,5,590,0.20508474576271185,small
0,saved_network/FJSP_J15M15/best_value0,la05,648.0,0.1190102100372314,end_to_end_drl_for_fjsp,10,5,593,0.09274873524451939,small
0,results/save_20_10.pt,la01,754.0,0.18729196548461913,fjsp_drl,10,5,666,0.13213213213213212,small
0,results/save_20_10.pt,la02,816.0,0.207669973373413,fjsp_drl,10,5,655,0.24580152671755726,small
0,results/save_20_10.pt,la03,743.0,0.3485331535339355,fjsp_drl,10,5,597,0.24455611390284757,small
0,results/save_20_10.pt,la04,744.0,0.1874220371246338,fjsp_drl,10,5,590,0.26101694915254237,small
0,results/save_20_10.pt,la05,593.0,0.206470251083374,fjsp_drl,10,5,593,0.0,small
0,results/save_20_5.pt,la01,748.0,0.1860380172729492,fjsp_drl,10,5,666,0.12312312312312312,small
0,results/save_20_5.pt,la02,839.0,0.1835801601409912,fjsp_drl,10,5,655,0.28091603053435116,small
0,results/save_20_5.pt,la03,701.0,0.1795921325683593,fjsp_drl,10,5,597,0.17420435510887772,small
0,results/save_20_5.pt,la04,685.0,0.1808252334594726,fjsp_drl,10,5,590,0.16101694915254236,small
0,results/save_20_5.pt,la05,593.0,0.1818997859954834,fjsp_drl,10,5,593,0.0,small
0,results/save_10_5.pt,la01,706.0,0.1854183673858642,fjsp_drl,10,5,666,0.06006006006006006,small
0,results/save_10_5.pt,la02,835.0,0.1793560981750488,fjsp_drl,10,5,655,0.2748091603053435,small
0,results/save_10_5.pt,la03,696.0,0.1799647808074951,fjsp_drl,10,5,597,0.1658291457286432,small
0,results/save_10_5.pt,la04,724.0,0.1786952018737793,fjsp_drl,10,5,590,0.2271186440677966,small
0,results/save_10_5.pt,la05,593.0,0.1827099323272705,fjsp_drl,10,5,593,0.0,small
0,results/save_15_10.pt,la01,704.0,0.1831979751586914,fjsp_drl,10,5,666,0.057057057057057055,small
0,results/save_15_10.pt,la02,806.0,0.1846342086791992,fjsp_drl,10,5,655,0.23053435114503817,small
0,results/save_15_10.pt,la03,696.0,0.1832289695739746,fjsp_drl,10,5,597,0.1658291457286432,small
