run,pdr,instance,makespan,runtime
9,MOPNR_EET,Behnke10.fjs,581,0.054255199432373
0,LWKR_SPT,Behnke10.fjs,208,0.0529857158660888
1,LWKR_SPT,Behnke10.fjs,208,0.0529857158660888
2,LWKR_SPT,Behnke10.fjs,208,0.0529857158660888
3,LWKR_SPT,Behnke10.fjs,208,0.0529857158660888
4,LWKR_SPT,Behnke10.fjs,208,0.0529857158660888
5,LWKR_SPT,Behnke10.fjs,208,0.0529857158660888
6,LWKR_SPT,Behnke10.fjs,208,0.0529857158660888
7,LWKR_SPT,Behnke10.fjs,208,0.0529857158660888
8,LWKR_SPT,Behnke10.fjs,208,0.0529857158660888
9,LWKR_SPT,Behnke10.fjs,208,0.0529857158660888
0,LWKR_EET,Behnke10.fjs,480,0.051946997642517
1,LWKR_EET,Behnke10.fjs,480,0.051946997642517
2,LWKR_EET,Behnke10.fjs,480,0.051946997642517
3,LWKR_EET,Behnke10.fjs,480,0.051946997642517
4,LWKR_EET,Behnke10.fjs,480,0.051946997642517
5,LWKR_EET,Behnke10.fjs,480,0.051946997642517
6,LWKR_EET,Behnke10.fjs,480,0.051946997642517
7,LWKR_EET,Behnke10.fjs,480,0.051946997642517
8,LWKR_EET,Behnke10.fjs,480,0.051946997642517
9,LWKR_EET,Behnke10.fjs,480,0.051946997642517
0,MWKR_SPT,Behnke10.fjs,180,0.0536065101623535
1,MWKR_SPT,Behnke10.fjs,180,0.0536065101623535
2,MWKR_SPT,Behnke10.fjs,180,0.0536065101623535
3,MWKR_SPT,Behnke10.fjs,180,0.0536065101623535
4,MWKR_SPT,Behnke10.fjs,180,0.0536065101623535
5,MWKR_SPT,Behnke10.fjs,180,0.0536065101623535
