run,model,instance,makespan,runtime,parameter_set,seed,jobs,machines,best_makespan,gap,category
3.0,MWKR_SPT,HurinkSdata45.fjs,1096.0,0.0396195650100708,MWKR_SPT,,10,10,943.0,0.16224814422057265,small
4.0,MWKR_SPT,HurinkSdata45.fjs,1096.0,0.0396195650100708,MWKR_SPT,,10,10,943.0,0.16224814422057265,small
5.0,MWKR_SPT,HurinkSdata45.fjs,1096.0,0.0396195650100708,MWKR_SPT,,10,10,943.0,0.16224814422057265,small
6.0,MWKR_SPT,HurinkSdata45.fjs,1096.0,0.0396195650100708,MWKR_SPT,,10,10,943.0,0.16224814422057265,small
7.0,MWKR_SPT,HurinkSdata45.fjs,1096.0,0.0396195650100708,MWKR_SPT,,10,10,943.0,0.16224814422057265,small
8.0,MWKR_SPT,HurinkSdata45.fjs,1096.0,0.0396195650100708,MWKR_SPT,,10,10,943.0,0.16224814422057265,small
9.0,MWKR_SPT,HurinkSdata45.fjs,1096.0,0.0396195650100708,MWKR_SPT,,10,10,943.0,0.16224814422057265,small
0.0,MWKR_SPT,HurinkSdata57.fjs,1475.0,0.0394860029220581,MWKR_SPT,,10,10,1059.0,0.392823418319169,small
1.0,MWKR_SPT,HurinkSdata57.fjs,1475.0,0.0394860029220581,MWKR_SPT,,10,10,1059.0,0.392823418319169,small
2.0,MWKR_SPT,HurinkSdata57.fjs,1475.0,0.0394860029220581,MWKR_SPT,,10,10,1059.0,0.392823418319169,small
3.0,MWKR_SPT,HurinkSdata57.fjs,1475.0,0.0394860029220581,MWKR_SPT,,10,10,1059.0,0.392823418319169,small
4.0,MWKR_SPT,HurinkSdata57.fjs,1475.0,0.0394860029220581,MWKR_SPT,,10,10,1059.0,0.392823418319169,small
5.0,MWKR_SPT,HurinkSdata57.fjs,1475.0,0.0394860029220581,MWKR_SPT,,10,10,1059.0,0.392823418319169,small
6.0,MWKR_SPT,HurinkSdata57.fjs,1475.0,0.0394860029220581,MWKR_SPT,,10,10,1059.0,0.392823418319169,small
7.0,MWKR_SPT,HurinkSdata57.fjs,1475.0,0.0394860029220581,MWKR_SPT,,10,10,1059.0,0.392823418319169,small
8.0,MWKR_SPT,HurinkSdata57.fjs,1475.0,0.0394860029220581,MWKR_SPT,,10,10,1059.0,0.392823418319169,small
9.0,MWKR_SPT,HurinkSdata57.fjs,1475.0,0.0394860029220581,MWKR_SPT,,10,10,1059.0,0.392823418319169,small
0.0,MWKR_SPT,HurinkSdata58.fjs,1159.0,0.0399429082870483,MWKR_SPT,,10,10,888.0,0.30518018018018017,small
1.0,MWKR_SPT,HurinkSdata58.fjs,1159.0,0.0399429082870483,MWKR_SPT,,10,10,888.0,0.30518018018018017,small
2.0,MWKR_SPT,HurinkSdata58.fjs,1159.0,0.0399429082870483,MWKR_SPT,,10,10,888.0,0.30518018018018017,small
3.0,MWKR_SPT,HurinkSdata58.fjs,1159.0,0.0399429082870483,MWKR_SPT,,10,10,888.0,0.30518018018018017,small
4.0,MWKR_SPT,HurinkSdata58.fjs,1159.0,0.0399429082870483,MWKR_SPT,,10,10,888.0,0.30518018018018017,small
5.0,MWKR_SPT,HurinkSdata58.fjs,1159.0,0.0399429082870483,MWKR_SPT,,10,10,888.0,0.30518018018018017,small
6.0,MWKR_SPT,HurinkSdata58.fjs,1159.0,0.0399429082870483,MWKR_SPT,,10,10,888.0,0.30518018018018017,small
7.0,MWKR_SPT,HurinkSdata58.fjs,1159.0,0.0399429082870483,MWKR_SPT,,10,10,888.0,0.30518018018018017,small
8.0,MWKR_SPT,HurinkSdata58.fjs,1159.0,0.0399429082870483,MWKR_SPT,,10,10,888.0,0.30518018018018017,small
9.0,MWKR_SPT,HurinkSdata58.fjs,1159.0,0.0399429082870483,MWKR_SPT,,10,10,888.0,0.30518018018018017,small
0.0,MWKR_SPT,HurinkSdata59.fjs,1368.0,0.0395704984664917,MWKR_SPT,,10,10,1005.0,0.3611940298507463,small
1.0,MWKR_SPT,HurinkSdata59.fjs,1368.0,0.0395704984664917,MWKR_SPT,,10,10,1005.0,0.3611940298507463,small
2.0,MWKR_SPT,HurinkSdata59.fjs,1368.0,0.0395704984664917,MWKR_SPT,,10,10,1005.0,0.3611940298507463,small
3.0,MWKR_SPT,HurinkSdata59.fjs,1368.0,0.0395704984664917,MWKR_SPT,,10,10,1005.0,0.3611940298507463,small
4.0,MWKR_SPT,HurinkSdata59.fjs,1368.0,0.0395704984664917,MWKR_SPT,,10,10,1005.0,0.3611940298507463,small
5.0,MWKR_SPT,HurinkSdata59.fjs,1368.0,0.0395704984664917,MWKR_SPT,,10,10,1005.0,0.3611940298507463,small
6.0,MWKR_SPT,HurinkSdata59.fjs,1368.0,0.0395704984664917,MWKR_SPT,,10,10,1005.0,0.3611940298507463,small
7.0,MWKR_SPT,HurinkSdata59.fjs,1368.0,0.0395704984664917,MWKR_SPT,,10,10,1005.0,0.3611940298507463,small
8.0,MWKR_SPT,HurinkSdata59.fjs,1368.0,0.0395704984664917,MWKR_SPT,,10,10,1005.0,0.3611940298507463,small
9.0,MWKR_SPT,HurinkSdata59.fjs,1368.0,0.0395704984664917,MWKR_SPT,,10,10,1005.0,0.3611940298507463,small
0.0,MWKR_SPT,HurinkSdata60.fjs,1251.0,0.039066481590271,MWKR_SPT,,10,10,1005.0,0.24477611940298508,small
1.0,MWKR_SPT,HurinkSdata60.fjs,1251.0,0.039066481590271,MWKR_SPT,,10,10,1005.0,0.24477611940298508,small
2.0,MWKR_SPT,HurinkSdata60.fjs,1251.0,0.039066481590271,MWKR_SPT,,10,10,1005.0,0.24477611940298508,small
3.0,MWKR_SPT,HurinkSdata60.fjs,1251.0,0.039066481590271,MWKR_SPT,,10,10,1005.0,0.24477611940298508,small
4.0,MWKR_SPT,HurinkSdata60.fjs,1251.0,0.039066481590271,MWKR_SPT,,10,10,1005.0,0.24477611940298508,small
