seed,model,instance,load_factor,makespan,runtime
0,DQN_ep1670,dmu44.txt,1,5302,3.4184279441833496
1,DQN_ep1670,dmu44.txt,1,5070,3.6502461433410645
0,DQN_ep1670,dmu45.txt,1,5244,3.9162158966064453
1,DQN_ep1670,dmu45.txt,1,5186,3.6334688663482666
0,DQN_ep1670,dmu46.txt,1,6199,5.174077033996582
1,DQN_ep1670,dmu46.txt,1,5750,5.06823992729187
0,DQN_ep1670,dmu47.txt,1,5861,5.2351930141448975
1,DQN_ep1670,dmu47.txt,1,5910,5.092031002044678
0,DQN_ep1670,dmu48.txt,1,5773,4.9479382038116455
1,DQN_ep1670,dmu48.txt,1,5072,5.459367036819458
0,DQN_ep1670,dmu49.txt,1,5930,5.016379117965698
1,DQN_ep1670,dmu49.txt,1,5504,5.283690929412842
0,DQN_ep1670,dmu50.txt,1,5718,5.058755874633789
1,DQN_ep1670,dmu50.txt,1,5523,4.925295114517212
0,DQN_ep1670,dmu51.txt,1,6434,6.9428911209106445
1,DQN_ep1670,dmu51.txt,1,7408,7.0260841846466064
0,DQN_ep1670,dmu52.txt,1,7003,6.544663190841675
1,DQN_ep1670,dmu52.txt,1,7494,7.083903074264526
0,DQN_ep1670,dmu53.txt,1,6856,7.996038913726807
1,DQN_ep1670,dmu53.txt,1,7510,6.926701784133911
0,DQN_ep1670,dmu54.txt,1,6610,7.282139778137207
1,DQN_ep1670,dmu54.txt,1,7492,7.042856931686401
0,DQN_ep1670,dmu55.txt,1,6675,6.973859786987305
1,DQN_ep1670,dmu55.txt,1,7177,6.975733041763306
0,DQN_ep1670,dmu56.txt,1,7660,10.090435028076172
1,DQN_ep1670,dmu56.txt,1,8400,10.0068519115448
0,DQN_ep1670,dmu57.txt,1,7214,10.267522096633911
1,DQN_ep1670,dmu57.txt,1,7559,10.160408020019531
0,DQN_ep1670,dmu58.txt,1,7561,10.490690231323242
1,DQN_ep1670,dmu58.txt,1,8267,10.463366031646729
